eps,gam,gam_media,p_media,media_op,avg_mean,avg_median,avg_std,perc_extr
0.1,0.0,0.0,0.0,[0.0],0.5020827667000003,0.5082374999999998,0.28017039048811737,0.0038
0.1,0.25,0.25,0.0,[0.0],0.49857026380000014,0.4952390000000001,0.2816211546907381,0.01730000000000001
0.1,0.5,0.5,0.0,[0.0],0.4983750522999999,0.4955615000000001,0.2847856746938841,0.028400000000000012
0.1,0.75,0.75,0.0,[0.0],0.4958310347200001,0.48647950000000006,0.2832065943069068,0.02870000000000001
0.1,1.0,1.0,0.0,[0.0],0.5036487686000001,0.510633,0.2857603117334251,0.038200000000000005
0.1,1.25,1.25,0.0,[0.0],0.50089040514,0.49498650000000005,0.2857539986448122,0.04089999999999999
0.1,1.5,1.5,0.0,[0.0],0.5037542212000001,0.5115929999999999,0.28543410367847116,0.03570000000000001
0.2,0.0,0.0,0.0,[0.0],0.50617617,0.534178,0.2447708274712728,0.0012
0.2,0.25,0.25,0.0,[0.0],0.5035052140100001,0.5003154999999999,0.25009630087189794,0.0035000000000000005
0.2,0.5,0.5,0.0,[0.0],0.49983100240000006,0.519409,0.2576500520534852,0.0073
0.2,0.75,0.75,0.0,[0.0],0.4994498185999998,0.4959355000000001,0.2535790877412285,0.009300000000000004
0.2,1.0,1.0,0.0,[0.0],0.4984349044999999,0.4818149999999999,0.253568502429538,0.012400000000000001
0.2,1.25,1.25,0.0,[0.0],0.4976320029999998,0.49990950000000006,0.2533727145104034,0.009500000000000003
0.2,1.5,1.5,0.0,[0.0],0.5013863600999997,0.5233285000000002,0.2554547734935164,0.014100000000000008
0.3,0.0,0.0,0.0,[0.0],0.49764972509999983,0.5022109999999999,0.1149833856362574,0.0002
0.3,0.25,0.25,0.0,[0.0],0.5039870875,0.504356,0.1316499863700988,0.0019
0.3,0.5,0.5,0.0,[0.0],0.498323974,0.4869609999999999,0.13385539522190662,0.0014000000000000002
0.3,0.75,0.75,0.0,[0.0],0.5039204624000002,0.513825,0.14107644079478704,0.0042
0.3,1.0,1.0,0.0,[0.0],0.501350585,0.5219950000000001,0.14694865300583124,0.0045000000000000005
0.3,1.25,1.25,0.0,[0.0],0.4986049342000002,0.4987085,0.13409336967400165,0.0063
0.3,1.5,1.5,0.0,[0.0],0.4993474731999996,0.505674,0.12718204302787348,0.0045000000000000005
0.4,0.0,0.0,0.0,[0.0],0.4968729347000002,0.4955029999999999,0.019281277313931186,0.0005
0.4,0.25,0.25,0.0,[0.0],0.5041698748000002,0.5047684999999997,0.03506414537073718,0.0008
0.4,0.5,0.5,0.0,[0.0],0.4961944333,0.49583349999999976,0.023696087199476478,0.0009999999999999998
0.4,0.75,0.75,0.0,[0.0],0.4999849679999999,0.4998375,0.02416671018016774,0.0008
0.4,1.0,1.0,0.0,[0.0],0.5022581910000001,0.5025645,0.035282460437753044,0.0021
0.4,1.25,1.25,0.0,[0.0],0.500474589,0.5024564999999999,0.04303749767094962,0.0024999999999999996
0.4,1.5,1.5,0.0,[0.0],0.4973161159999999,0.4968780000000003,0.037139308422589536,0.0023
0.5,0.0,0.0,0.0,[0.0],0.49734343000000003,0.49733100000000036,0.00035286986522597736,0.0
0.5,0.25,0.25,0.0,[0.0],0.5018448039999999,0.501921,0.0019263758058291139,0.0002
0.5,0.5,0.5,0.0,[0.0],0.5010281373600002,0.5010965000000003,0.002965812654223312,0.0002
0.5,0.75,0.75,0.0,[0.0],0.5062079500000001,0.5062220000000001,0.002503827793476651,0.0002
0.5,1.0,1.0,0.0,[0.0],0.4948220480000002,0.494942,0.005266337991751714,0.0007000000000000001
0.5,1.25,1.25,0.0,[0.0],0.5024921030000001,0.5027465000000002,0.0053832694635235325,0.0005
0.5,1.5,1.5,0.0,[0.0],0.5046145,0.504358,0.004715153928392877,0.0002
1.0,0.0,0.0,0.0,[0.0],0.4974961399999998,0.49750750000000027,0.00036304611604330946,0.0
1.0,0.25,0.25,0.0,[0.0],0.49835976000000015,0.4983465,0.001176094189125023,0.0
1.0,0.5,0.5,0.0,[0.0],0.5005411499999999,0.5005215,0.0014396916188462007,0.0
1.0,0.75,0.75,0.0,[0.0],0.5010421099999997,0.5010589999999998,0.0016222692002807277,0.0
1.0,1.0,1.0,0.0,[0.0],0.49861048000000013,0.4986519999999999,0.001957124353801736,0.0
1.0,1.25,1.25,0.0,[0.0],0.5009538900000001,0.5009250000000001,0.002464993221002301,0.0
1.0,1.5,1.5,0.0,[0.0],0.5007269799999999,0.5007344999999999,0.0028905842733210237,0.0
0.1,0.0,0.0,0.1,[0.0],0.48765386308899994,0.501309,0.2953564862407901,0.13530000000000006
0.1,0.25,0.25,0.1,[0.0],0.48430810516199974,0.4875724999999999,0.2998716422533407,0.13389999999999996
0.1,0.5,0.5,0.1,[0.0],0.4921648266599999,0.5037445000000002,0.29997823887869607,0.13149999999999998
0.1,0.75,0.75,0.1,[0.0],0.49190351688999995,0.5033159999999999,0.29590971555271534,0.11269999999999998
0.1,1.0,1.0,0.1,[0.0],0.4936887946150001,0.4976860000000002,0.29669544267281983,0.10960000000000003
0.1,1.25,1.25,0.1,[0.0],0.49150462602499984,0.5000120000000003,0.29511399871586513,0.11299999999999998
0.1,1.5,1.5,0.1,[0.0],0.4887919837709999,0.4940665000000001,0.2964427957551058,0.11179999999999998
0.2,0.0,0.0,0.1,[0.0],0.4386594445130001,0.49223124799999984,0.31536496410343207,0.2878
0.2,0.25,0.25,0.1,[0.0],0.4410418557990002,0.4532881724999999,0.3193833947236719,0.2925999999999999
0.2,0.5,0.5,0.1,[0.0],0.4452826283890001,0.4628164349999999,0.3109908814320217,0.26500000000000007
0.2,0.75,0.75,0.1,[0.0],0.457881129166,0.4994409499999999,0.31010694977496794,0.24930000000000002
0.2,1.0,1.0,0.1,[0.0],0.45701969677999993,0.4775561125000001,0.3036585639103944,0.23860000000000003
0.2,1.25,1.25,0.1,[0.0],0.4717232409280001,0.5260821000000001,0.2975442114469558,0.20659999999999992
0.2,1.5,1.5,0.1,[0.0],0.46743291071299997,0.4933717649999997,0.29913207231876626,0.22270000000000004
0.3,0.0,0.0,0.1,[0.0],0.4097071163399999,0.46067448,0.2626186161608719,0.31440000000000007
0.3,0.25,0.25,0.1,[0.0],0.4232410597460002,0.4756103824999998,0.26447897347121796,0.29719999999999996
0.3,0.5,0.5,0.1,[0.0],0.41178086738000014,0.4707368599999998,0.2621386905008078,0.3139000000000001
0.3,0.75,0.75,0.1,[0.0],0.4255855243600002,0.482226566,0.25311335824629755,0.27929999999999994
0.3,1.0,1.0,0.1,[0.0],0.412691427348,0.48716764199999985,0.29061841212588546,0.3392
0.3,1.25,1.25,0.1,[0.0],0.4241215023759998,0.519592765,0.2776630282118561,0.3044000000000001
0.3,1.5,1.5,0.1,[0.0],0.41891961332600003,0.5342437149999999,0.2758683717104939,0.31710000000000005
0.4,0.0,0.0,0.1,[0.0],0.39915914042999995,0.3994462325,0.025530954343576634,0.17209999999999995
0.4,0.25,0.25,0.1,[0.0],0.39353434470900006,0.40184932349999997,0.06426525940583702,0.20689999999999997
0.4,0.5,0.5,0.1,[0.0],0.41422290490999975,0.4215313900000002,0.0489484016390324,0.1545
0.4,0.75,0.75,0.1,[0.0],0.32263111949999995,0.33373950999999996,0.053876830881443086,0.33949999999999997
0.4,1.0,1.0,0.1,[0.0],0.278611752506,0.28773327249999997,0.04944065758371024,0.43739999999999996
0.4,1.25,1.25,0.1,[0.0],0.24380227750699987,0.25467779650000005,0.1024678083907318,0.5453000000000001
0.4,1.5,1.5,0.1,[0.0],0.2232019588389999,0.24250613999999995,0.10356903350086309,0.589
0.5,0.0,0.0,0.1,[0.0],0.013044780950000001,0.012627577499999997,0.005159111613888304,0.9794999999999999
0.5,0.25,0.25,0.1,[0.0],0.012877418600000008,0.012082277500000002,0.008446129781195603,0.9790999999999999
0.5,0.5,0.5,0.1,[0.0],0.0016563870100000002,0.0014699174999999998,0.0030402350284367816,0.9997
0.5,0.75,0.75,0.1,[0.0],0.00246195868,0.0014044924999999998,0.006387356226681174,0.9987999999999999
0.5,1.0,1.0,0.1,[0.0],0.0026526377699999997,0.0013397899999999998,0.010237618368457754,0.9985
0.5,1.25,1.25,0.1,[0.0],0.002900025250000001,0.0012670385000000007,0.011353602534305311,0.9982000000000001
0.5,1.5,1.5,0.1,[0.0],0.002668024245,0.0012302719999999997,0.00997556322541157,0.9984000000000001
1.0,0.0,0.0,0.1,[0.0],0.00145147557,0.0015279549999999997,0.00025544487430118496,1.0
1.0,0.25,0.25,0.1,[0.0],0.0014269128100000002,0.0015124599999999995,0.0002822976382478805,1.0
1.0,0.5,0.5,0.1,[0.0],0.00138123369,0.0014650700000000006,0.0003023114888749297,1.0
1.0,0.75,0.75,0.1,[0.0],0.0013119211300000003,0.0013918849999999996,0.00031348387320173345,1.0
1.0,1.0,1.0,0.1,[0.0],0.00126202753,0.00133665,0.00033666464447118906,1.0
1.0,1.25,1.25,0.1,[0.0],0.0012171636299999995,0.0012745745,0.0003500379075083185,1.0
1.0,1.5,1.5,0.1,[0.0],0.00117835529,0.0012299124999999994,0.00035358925842499355,1.0
0.1,0.0,0.0,0.2,[0.0],0.48944652427000024,0.5164445000000001,0.29438432677662424,0.12599999999999997
0.1,0.25,0.25,0.2,[0.0],0.490265683782,0.4979555000000001,0.2928327993453547,0.11830000000000002
0.1,0.5,0.5,0.2,[0.0],0.489236783459,0.5004320000000002,0.2961964433899588,0.1185
0.1,0.75,0.75,0.2,[0.0],0.48704230697,0.4977185,0.2983894949055001,0.12129999999999998
0.1,1.0,1.0,0.2,[0.0],0.4927551540599998,0.4972934999999999,0.2967603575900014,0.11690000000000002
