,n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,new_avg_ncluster,new_std_ncluster,0.01MS_avg_ncluster,0.01MS_std_ncluster,0.0001MS_avg_ncluster,0.0001MS_std_ncluster,0.00001MS_avg_ncluster,0.00001MS_std_ncluster,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,perc_00,perc_005,perc_05,perc_095,avg_opinion,median_opinion
0,100,1.0,0.1,0.0,0.0,0.1,1000000,0.05;0.5;0.95,4.33584811728071,0.5503267885717668,0.16829532802000002,0.2523175231346961,282.56,361.72712300178927,4.335848117280709,0.5475682409321388,4.335848117280709,0.5475682409321388,6.099630743132633,1.4190795574683623,6.703897139480972,1.7919132135029952,1.5255516773812061,0.11837945025500174,1.5255516773812061,0.11837945025500174,,0.0816,0.12780000000000002,0.0885,0.500390998,0.5126105
1,100,1.0,0.1,0.5,0.5,0.1,1000000,0.05;0.5;0.95,5.11122395155792,0.609605672662577,0.17044290063,0.2512171617259393,113.63,20.596486412134773,5.980435151216187,1.1168440752171824,5.856033000675116,1.033912026443914,12.326624937355607,3.4153321384708706,14.566689211353216,4.5745660571940165,2.153097109148965,0.23555991441679072,2.153097109148965,0.23555991441679072,,0.13549999999999998,0.19190000000000002,0.1251,0.501081695,0.4984835
2,100,1.0,0.1,0.75,0.75,0.1,1000000,0.05;0.5;0.95,5.2845806512411615,0.5969614931303682,0.17044604298000002,0.25027564495645405,99.1,20.30450017293525,6.246396082438435,1.2419989597484988,6.162873514473501,1.165316408819436,13.134669821562214,4.009980236680577,15.54821161378199,5.028616178479804,2.2208865414218018,0.2302564280494837,2.2208865414218018,0.2302564280494837,,0.13660000000000003,0.1948,0.1386,0.4999755120000001,0.5112804999999999
3,100,1.0,0.1,1.0,1.0,0.1,1000000,0.05;0.5;0.95,5.532513354550615,0.6011319880001859,0.16931923319000006,0.2479760198010313,89.49,15.683417866000893,6.591071718124884,1.2256249438357558,6.518114096809536,1.1986463358991697,14.541334543368158,4.283023256938258,16.6620477705264,5.2876648412272855,2.3061104626375117,0.21440440326584145,2.3061104626375117,0.21440440326584145,,0.12399999999999997,0.18290000000000003,0.13720000000000002,0.49783460899999993,0.49683999999999995
4,100,1.0,0.1,1.25,1.25,0.1,1000000,0.05;0.5;0.95,5.636583201443948,0.7189268857854474,0.16912945549999994,0.2473215450250673,84.12,14.559720277033296,6.80231168180519,1.3883305373336643,6.717476481536461,1.3152660725745506,15.805813009307428,4.203049965442057,17.950691950871782,5.605783428083407,2.346602075505917,0.2171081363150025,2.346602075505917,0.2171081363150025,,0.1233,0.16380000000000003,0.12809999999999996,0.5029628660000001,0.5020405
5,100,1.0,0.1,1.5,1.5,0.1,1000000,0.05;0.5;0.95,5.798787569427852,0.6550215786240506,0.16703352917,0.2437056666775416,85.23,13.137851091907349,7.216668295899984,1.4514375495082352,7.118938589579588,1.3680603281004344,16.130333270597347,5.0771070392790065,18.044099627128755,5.721081250186148,2.399413205036599,0.22899543784382898,2.399413205036599,0.22899543784382898,,0.1209,0.1758,0.12510000000000002,0.499950495,0.502889
6,100,1.0,0.2,0.0,0.0,0.1,1000000,0.05;0.5;0.95,2.328088558040839,0.4326036045576963,0.15654365198999998,0.2709649698705568,1596.55,2236.1297796447643,2.328088558040839,0.4304351517819478,2.328088558040839,0.4304351517819478,3.3838450352579983,1.1248422103744569,4.020060061942363,2.07744443154773,0.8846702244458439,0.1707598474347914,0.8846702244458439,0.1707598474347914,,0.18290000000000003,0.1791,0.0792,0.5042585569999999,0.47798665000000007
7,100,1.0,0.2,0.5,0.5,0.1,1000000,0.05;0.5;0.95,2.509680132557272,0.402310829745315,0.16452726426999995,0.2752480643818383,146.28,18.787530788565935,2.5096801325572704,0.4002942214085288,2.5096801325572704,0.4002942214085288,5.043150599485559,1.7061280646572081,6.113020337637128,2.573613837681832,1.005706034708469,0.16620755703278828,1.005706034708469,0.16620755703278828,,0.21109999999999998,0.3532999999999999,0.19510000000000005,0.49903435099999993,0.50604785
8,100,1.0,0.2,0.75,0.75,0.1,1000000,0.05;0.5;0.95,2.585505998747541,0.3830740585562116,0.16887444295999995,0.27906152162783915,128.11,16.480104319567833,2.585505998747541,0.38115387574487625,2.585505998747541,0.38115387574487625,5.638664025947177,2.143505380594758,6.7911907734531605,2.769683363120673,1.0502926173567884,0.16993339871008425,1.0502926173567884,0.16993339871008425,,0.19720000000000001,0.3642999999999999,0.20679999999999998,0.49916314399999995,0.48887159999999996
9,100,1.0,0.2,1.0,1.0,0.1,1000000,0.05;0.5;0.95,2.616179545375777,0.4267001649208054,0.16772979515999994,0.2768168282437306,124.24,18.818173034692727,2.617267762241985,0.4249920675784867,2.617267762241985,0.4249920675784867,5.6349594477942615,2.1919857709959434,6.964523973987294,3.3263610027643007,1.0857795170034357,0.20723937990767893,1.0857795170034357,0.20723937990767893,,0.2266,0.37029999999999996,0.2042,0.48584367199999995,0.49535869999999993
