,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.001,std_ncluster_0.001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
0,100,1.0,0.3,0.0,0.0,0.5,1000000,0.05;0.95,1.9172473507197567,0.1394371395088116,0.2115038391299999,0.3798405766084998,49.84,24.984326399896524,2.3455776186468715,0.372256613423475,576,0.5008428850000001,0.4342304420838402,0.5471118500000001,0.4966,0.0048,0.4986,0.4966,0.6828938929275433,0.059351227659426,0.6832758014285203,0.0600947927576782,0.16736095607148538
1,100,1.0,0.2,0.75,0.75,0.5,1000000,0.05;0.5;0.95,2.8614340243600505,0.2532498200668541,0.1781290983099999,0.2810372784029551,26.31,4.172287118353649,3.116531686814559,0.4038815314445114,576,0.4932003229999999,0.3318927599219262,0.5000445,0.2843,0.4315,0.2679999999999999,0.2843,1.1823145028624025,0.1419364802379793,1.1863852908174934,0.1459645191362547,0.29059213881897494
2,100,1.0,0.3,0.0,0.0,0.2,1000000,0.05;0.95,1.771977453054039,0.2905980426690583,0.1821703042799999,0.3582296383566485,105.24,16.540198965495605,2.120912157543989,0.5488868794458949,576,0.491483364,0.3845874795167986,0.5128326,0.4440999999999999,0.1297,0.4175,0.4440999999999999,0.5939308640909018,0.1653817414831196,0.5940694935270138,0.1650181906517335,0.1455108437935588
3,100,1.0,0.4,1.25,1.25,0.2,1000000,0.5,1.0600775060402867,0.065546193502675,0.012155601652,0.0721677003466778,32.4,6.076947665505516,1.9284603481121263,0.3518170733752611,576,0.4967732396,0.0600316179563575,0.5001774999999999,0.0178,0.9721,0.0101,0.0178,0.2669648316984271,0.2566763039551418,0.2814696704285892,0.2642319899615702,0.06894292619403207
4,100,1.0,0.5,0.0,0.0,0.4,1000000,0.5,1.0,0.0,0.0001728735,0.0002952841516073,14.81,3.323303090953856,1.2188101303301335,0.264299551253807,576,0.5001433900000001,0.0003364281091852,0.500133,0.0,1.0,0.0,0.0,0.0245580243172436,0.1067818035208646,0.0245580243172436,0.1067818035208646,0.0060152202381056254
5,100,1.0,0.4,1.25,1.25,0.4,1000000,0.5,1.0826413374099957,0.062735003349284,0.0167187469775,0.0853087541633092,19.57,2.3794363138603174,1.6826129756554034,0.4648012933958176,576,0.49904251725,0.0766892069434658,0.5002285,0.0204,0.9617,0.0179,0.0204,0.32334939348544,0.2669252961024319,0.341282041163508,0.2703584283482339,0.08359331411962488
6,100,1.0,0.2,1.0,1.0,0.2,1000000,0.5,3.576107439037045,0.867551184217881,0.132816441506,0.2114124275222071,40.97,9.773655581937776,5.545354648249368,1.902714281991793,576,0.4989419901999999,0.24799430677102,0.5011464999999999,0.0437,0.4579,0.1012999999999999,0.1016,1.4408861401118267,0.1982805559646312,1.930834219725976,0.3067279225420508,0.47293678534097067
7,100,1.0,0.4,0.5,0.5,0.5,1000000,0.05;0.5;0.95,9.099572405314136,9.236939894231435,0.03050466376,0.0927064051843102,440017.11,498872.40879206586,22.8586030689401,24.60479868808645,576,0.5098229320000001,0.0739814068098418,0.509467,0.0096,0.5899,0.031,0.025,0.6294590010985179,0.6407352895200612,1.4852488017513408,1.6004265416066583,0.3637954965556269
8,100,1.0,0.3,1.25,1.25,0.1,1000000,0.0,2.121877256053638,1.243068647757248,0.1272969029773999,0.2559402009787727,110.54,17.26760264223442,6.223002027605839,1.9549372975230936,576,0.423953912778,0.2773751725951707,0.520625765,0.306,0.2703,0.0157,0.306,0.7327246780421386,0.2834513739631488,1.114823129980119,0.4861617120894793,0.2730637679455374
9,100,1.0,0.5,1.0,1.0,0.1,1000000,0.05;0.5;0.95,1.7589706002627683,0.712546110630825,0.0044684035999999,0.0171114227452978,1000000.0,0.0,8.704858408830031,4.467104929178604,576,0.4934382799999999,0.0139466742109589,0.4945259999999999,0.0,0.9916,0.0,0.0,0.2589737050981366,0.2264304999546205,0.7568722498709971,0.4678886501533131,0.18538760350879732
