,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.01,std_ncluster_0.01,nruns,iqm_niter,iqstd_niter,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr
0,100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.5;0.95,2.142106045192232,0.3499388503128019,0.12012870288899999,0.20851807666094685,45.17,27.806712001299854,2.1421060451922322,0.34818475981677194,576,35.42,4.064923123504306,0.5018396389,0.23962561181081748,0.5293855,0.0003,0.017300000000000003,0.0018,0.001,0.8002038354870541,0.15101401270887801,0.8320752536845275,0.1541886554499903,0.2049019280844069
1,100,1.0,0.2,0.5,0.5,0.0,1000000,0.05;0.5;0.95,4.472365249259983,2.2350497745213067,0.133867595366,0.21444744876251684,38.33,27.142740905044647,4.4676533416631585,2.2148575826015993,576,31.133333333333333,5.1103381057964805,0.5050604182000001,0.25170381128084374,0.5177435,0.0003,0.0183,0.008,0.004,1.3643452237644633,0.257029951859104,2.1789758865835243,0.41591422326429595,0.5365817075238616
2,100,1.0,0.2,0.75,0.75,0.0,1000000,0.05;0.5;0.95,4.4388505765499096,2.1248900649528903,0.131987680822,0.21266454102308394,28.49,10.21634163307181,4.440457265395631,2.1142184580484145,576,26.375,2.4377670793850124,0.4969628046000001,0.24886116079870657,0.5011414999999999,0.0002,0.021,0.0022,0.0052,1.381526453238063,0.2910404842807683,2.150896635373333,0.49597388809854853,0.5296670772825974
3,100,1.0,0.2,1.0,1.0,0.0,1000000,0.05;0.5;0.95,3.978510607823325,1.6875771130457269,0.132391189128,0.21604554644084686,31.42,12.543403433557005,3.9748554655251724,1.6731210512634345,576,28.5,2.8722813232690143,0.49704706379999997,0.251976071480306,0.5141955,0.0013,0.0088,0.0070999999999999995,0.0089,1.3663169353766234,0.28265977183864294,2.123831993193781,0.4351241100440363,0.5230022986571687
4,100,1.0,0.2,1.25,1.25,0.0,1000000,0.05;0.5;0.95,4.188130107265675,1.6374703874071392,0.135711719996,0.2161297340106796,39.42,16.18090906537139,4.187479206965299,1.6260573620867889,576,35.46,5.872682521642048,0.5049008602,0.25404155676016354,0.5368935,0.0002,0.019299999999999998,0.0083,0.008600000000000002,1.4294901904761923,0.26142983401046965,2.219845461228884,0.3730790899022471,0.5466460071262612
5,100,1.0,0.2,1.5,1.5,0.0,1000000,0.05;0.5;0.95,4.3015544170405775,1.9159948467457488,0.13500891098200002,0.21702565437133406,47.33,20.55151448129182,4.301554417040579,1.9063908020730436,576,41.875,6.675905057243799,0.5002393038000001,0.2543757595030889,0.48832249999999994,0.0015,0.0141,0.0046,0.0068000000000000005,1.4017631487280375,0.284312177619623,2.2071052242811087,0.4350617225868941,0.5435086717671195
6,100,1.0,0.3,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.416930011739581,0.426495405544276,0.053520418891,0.149272351935487,35.81,34.899189594365,1.4169300117395816,0.42435757050024775,576,25.2,2.9559732369860483,0.49803734310000003,0.12260843889869996,0.4945475,0.0001,0.1634,0.0011,0.0003,0.35234290376073574,0.30411413316646924,0.4022165751737181,0.31295744395527686,0.09904747364575318
7,100,1.0,0.3,0.5,0.5,0.0,1000000,0.05;0.5;0.95,1.9043864764640488,0.9868895984949272,0.06746380651000003,0.16211772226294804,31.49,17.973883972322316,1.9043864764640495,0.9819427523136489,576,26.270833333333332,4.141957987742297,0.497114638,0.1515328494432718,0.499773,0.0002,0.06319999999999999,0.0013999999999999998,0.0015000000000000002,0.6096631532043605,0.42492869226301555,1.0419263900142663,0.6819155225004255,0.25657862710202944
8,100,1.0,0.3,0.75,0.75,0.0,1000000,0.05;0.5;0.95,1.8908931158820408,1.0224441009790173,0.06448974803999999,0.16103737270686866,33.56,15.21317876319108,1.8908427975333664,1.0172027542564903,576,29.591836734693878,5.352544187530532,0.502597322,0.14154635286444064,0.5020735,0.0003,0.1197,0.0023,0.0013,0.581337023491209,0.43764553499165276,1.044902665402445,0.7009927050407742,0.2573115470667171
9,100,1.0,0.3,1.0,1.0,0.0,1000000,0.05;0.5;0.95,1.71131700193798,0.9633187436658036,0.05305394582,0.14666406530328538,48.05,20.154642044938328,1.7103221434713256,0.9584286521954278,576,45.53061224489796,8.268706783412636,0.50216258,0.12117111577826041,0.5156915,0.0,0.1444,0.0015000000000000002,0.0021,0.519452970358215,0.47233397588154163,0.9991947335565468,0.6902041609023173,0.24605578225157204
10,100,1.0,0.3,1.25,1.25,0.0,1000000,0.05;0.5;0.95,1.6486374337537315,1.0787182908764774,0.04835199634,0.14005684431405618,69.85,25.791853306222443,1.6468124386352614,1.0737339558097045,576,70.18367346938776,10.291017421365448,0.5029153009999999,0.11728629047594666,0.5175185,0.0,0.1422,0.0023,0.002,0.4859763933997651,0.42272729669202636,0.9772389438224559,0.6377993566356895,0.24064907939722097
11,100,1.0,0.3,1.5,1.5,0.0,1000000,0.05;0.5;0.95,1.893585159288972,1.256571181220462,0.051749591568,0.1454473788871454,96.54,35.470978320738524,1.888026022617179,1.250864914329184,576,98.58,14.752748896392157,0.4959430284,0.12185607854276773,0.4954329999999999,0.0004,0.17300000000000001,0.002,0.0032000000000000006,0.5357488216931702,0.4499102125643886,1.0440166530431059,0.6914515851736995,0.2570933629061724
12,100,1.0,0.4,0.0,0.0,0.0,1000000,0.05;0.5;0.95,1.0097597970332772,0.0155319743301884,0.002422317382,0.032887340830030684,18.33,20.551022978298324,1.0097597970332777,0.015454119331999968,576,,,0.5030654122,0.019525961030717034,0.5032234999999999,0.0002,0.2767,0.0003,0.0005,0.030710296961622748,0.07019855944235516,0.09592564836410768,0.17903742311902276,0.023622082516594846
