,n,p,eps,gam,gam_media,p_media,max_it,media_op,avg_ncluster,std_ncluster,avg_pwdist,std_pwdist,avg_niter,std_niter,avg_ncluster_0.00001,std_ncluster_0.00001,nruns,avg_opinion,std_opinions,median_opinion,avg_00_perc,avg_05_perc,avg_095_perc,avg_005_perc,10B_avg_entr,10B_std_entr,100B_avg_entr,100B_std_entr,100B_norm_entr,avg_ncluster_0.01,std_ncluster_0.01,avg_ncluster_0.001,std_ncluster_0.001
0,100,1.0,0.5,1.0,1.0,0.4,1000000,0.05;0.95,1.857399479653265,0.1386302169040438,0.20608744565,0.3777603136214622,36.17,4.741936270761092,7.993102660708485,3.919468532377183,97.0,0.523560893,0.4297410179851803,0.5941771499999998,0.4737,0.0,0.5263,0.4737,0.650018691086171,0.0479194257321137,0.650018691086171,0.0479194257321137,0.16271092324927713,1.8573994796532651,0.13793532422288943,2.319841531463764,0.4609388549123454
1,100,1.0,0.2,0.75,0.75,0.2,1000000,0.05;0.5;0.95,2.761920722507222,0.2792820927026703,0.1766231924799999,0.2821131395169076,63.64,7.851551992241323,6.95194868214876,2.552749320008901,97.0,0.4973762580000001,0.3311351568326372,0.5000629999999999,0.2838,0.4315,0.2776999999999999,0.2838,1.1306153602291733,0.1465728898936445,1.132502057013831,0.1477912829562539,0.28348485636699605,2.761920722507223,0.27788217364800333,3.2494169644846362,0.5540424884502309
2,100,1.0,0.3,0.75,0.75,0.2,1000000,0.05;0.5;0.95,1.5045068655127671,0.2043031542757604,0.0749637032899999,0.1731768828990512,69.52,29.028888432669337,4.577356231921029,1.62864621619396,97.0,0.4844422029999999,0.184689060642865,0.4957167,0.1251,0.7848999999999999,0.09,0.1251,0.5521147477004711,0.1823040707635358,0.5521147477004711,0.1823040707635358,0.1382038725498375,1.5045068655127674,0.20327907186563735,2.1474100810558316,0.5490031773680242
3,100,1.0,0.4,0.5,0.5,0.2,1000000,0.5,1.019760729238408,0.025682384956138,0.004581205,0.0446295939897654,28.53,8.62396824453965,3.986370938700919,1.4068547122329806,97.0,0.49967864,0.0308531182741859,0.500073,0.0053,0.9904000000000002,0.0043,0.0053,0.0959429606767043,0.1545459713291465,0.0966884326716407,0.1550110264129884,0.02420278734022227,1.0197607292384085,0.02555365038629342,1.6716373165791136,0.38069880417723195
4,100,1.0,0.2,0.5,0.5,0.2,1000000,0.05;0.95,3.2081145016954458,0.9947527045567574,0.18881079122,0.3023647727805738,63.31,10.170957862383654,12.360474428210694,5.900746346683356,97.0,0.494988134,0.354296861066422,0.52582535,0.3265999999999999,0.269,0.3021,0.3265999999999999,1.175698311429776,0.208922212867449,1.4149981841409254,0.3930340074080241,0.35419852397305757,3.2098784064694117,0.9968777208861411,4.557575261255029,1.6495112507525236
5,100,1.0,0.2,0.0,0.0,0.0,1000000,0.05;0.95,2.121743456227064,0.3547635495737778,0.12142245311,0.2116282216983608,44.78,25.2376902687431,3.7303517552867103,1.9785656422936035,97.0,0.500587811,0.2429950804994543,0.4827104999999999,0.0033,0.0919,0.036,0.0387,0.7979779314851476,0.1529898566791489,0.8262945036963931,0.1599279142677385,0.20683580859434103,2.1217434562270636,0.3529852749692606,2.464294513026041,0.5857050862125627
6,100,1.0,0.5,0.5,0.5,0.0,1000000,0.05;0.95,1.00020199959192,0.0020199959192001,0.0008098395999999,0.0054209466118874,10021.37,99997.84191607247,9.437140666897715,2.102845444554004,97.0,0.4961079400000001,0.0018529317043628,0.4960594999999999,0.0,0.9999,0.0001,0.0,0.0386570356055196,0.1320360661293363,0.2478734254167035,0.2744701659513926,0.06204700641933697,1.00020199959192,0.0020098705626108064,3.356439279226754,0.856412366320007
7,100,1.0,0.2,0.0,0.0,0.1,1000000,0.5,2.4688133740948577,0.4494179394477537,0.117351778235,0.1992819681241277,75.13,27.906646324682388,4.431105041386467,1.338086253184324,97.0,0.5023155115,0.2260927163804918,0.4961719999999999,0.0062,0.4750999999999999,0.0749,0.0837,0.9399316218813256,0.1752026333919686,0.9452437668112832,0.1791479909573107,0.23661086689136346,2.4688133740948577,0.44716520376085855,2.881992678479167,0.5654265459842301
8,100,1.0,0.3,0.0,0.0,0.4,1000000,0.05;0.5;0.95,1.3867451102481991,0.2438736467379954,0.05981092898,0.1574327734423692,104.7,211.55912324043769,3.445680024458746,1.4136927719900911,97.0,0.4921719919999999,0.1604110597594291,0.5000817000000002,0.0942,0.8292000000000002,0.0766,0.0942,0.4350391597587989,0.1603433109887446,0.4353164186310229,0.1601541818457727,0.10896723025404934,1.3867451102481994,0.2426512147456833,1.6656793750500103,0.5198457583152881
9,100,1.0,0.3,1.0,1.0,0.1,1000000,0.05;0.95,1.8379848362045907,0.3977005539557611,0.17957604055,0.3489574894292396,123.49,19.482442237962765,8.597976551041482,4.454542371201408,97.0,0.525000799,0.3815595367913094,0.5714156,0.3944,0.1035,0.4569,0.3944,0.6589327224147061,0.1790942424283025,0.7072281461393974,0.2095433295791894,0.17703143953280734,1.8376000950392086,0.3932216101812471,2.862305615995522,1.052874639777858
