n,density,eps,gam,gam_media,p_media,max_it,media_op,avg_entropy,std_entropy
100,1.0,0.2,1.25,1.25,0.3,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.3,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.3,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.3,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.3,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.3,1000000,[0.0],-6.5582895958161025,0.4595375605731561
100,1.0,0.5,0.75,0.75,0.3,1000000,[0.0],-6.547299325657065,0.4015444155466051
100,1.0,0.5,1.0,1.0,0.3,1000000,[0.0],-6.5830479497474705,0.34542938676428947
100,1.0,0.5,1.25,1.25,0.3,1000000,[0.0],-6.488464725942948,0.49230459481691957
100,1.0,0.5,1.5,1.5,0.3,1000000,[0.0],-6.2542397633143825,0.6353668077559443
100,1.0,1.0,0.0,0.0,0.3,1000000,[0.0],-6.804602966717032,0.08727413091933219
100,1.0,1.0,0.5,0.5,0.3,1000000,[0.0],-6.742853958420989,0.11680467336392572
100,1.0,1.0,0.75,0.75,0.3,1000000,[0.0],-6.721227852126799,0.13540890049802531
100,1.0,1.0,1.0,1.0,0.3,1000000,[0.0],-6.691531760827283,0.15921324382264487
100,1.0,1.0,1.25,1.25,0.3,1000000,[0.0],-6.7059667835060255,0.15017104590161734
100,1.0,1.0,1.5,1.5,0.3,1000000,[0.0],-6.746062945623062,0.18008537734800986
100,1.0,0.1,0.0,0.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.4,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.4,1000000,[0.0],-inf,nan
100,1.0,0.1,1.5,1.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,0.0,0.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,1.25,1.25,0.4,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.4,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.4,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.4,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.4,1000000,[0.0],-inf,nan
100,1.0,0.5,0.75,0.75,0.4,1000000,[0.0],-6.5137541049855,0.6422748810560858
100,1.0,0.5,1.0,1.0,0.4,1000000,[0.0],-6.479596696938453,0.778036939668304
100,1.0,0.5,1.25,1.25,0.4,1000000,[0.0],-6.209333326297605,0.7653087699942025
100,1.0,0.5,1.5,1.5,0.4,1000000,[0.0],-inf,nan
100,1.0,1.0,0.0,0.0,0.4,1000000,[0.0],-6.827552516314024,0.13073971419551428
100,1.0,1.0,0.5,0.5,0.4,1000000,[0.0],-6.798830421659628,0.14880442756589488
100,1.0,1.0,0.75,0.75,0.4,1000000,[0.0],-6.803111463953729,0.1538760585225918
100,1.0,1.0,1.0,1.0,0.4,1000000,[0.0],-6.810100531366373,0.14141075024430624
100,1.0,1.0,1.25,1.25,0.4,1000000,[0.0],-6.806572012135401,0.18336292165321175
100,1.0,1.0,1.5,1.5,0.4,1000000,[0.0],-6.856249458374327,0.18359353437335377
100,1.0,0.1,0.0,0.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.1,0.5,0.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.1,0.75,0.75,0.5,1000000,[0.0],-inf,nan
100,1.0,0.1,1.0,1.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.1,1.25,1.25,0.5,1000000,[0.0],-inf,nan
100,1.0,0.1,1.5,1.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,0.0,0.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,0.5,0.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,0.75,0.75,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,1.0,1.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,1.25,1.25,0.5,1000000,[0.0],-inf,nan
100,1.0,0.2,1.5,1.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,0.0,0.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,0.5,0.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,0.75,0.75,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,1.0,1.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,1.25,1.25,0.5,1000000,[0.0],-inf,nan
100,1.0,0.3,1.5,1.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,0.0,0.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,0.5,0.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,0.75,0.75,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,1.0,1.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,1.25,1.25,0.5,1000000,[0.0],-inf,nan
100,1.0,0.4,1.5,1.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,0.0,0.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,0.5,0.5,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,0.75,0.75,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,1.0,1.0,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,1.25,1.25,0.5,1000000,[0.0],-inf,nan
100,1.0,0.5,1.5,1.5,0.5,1000000,[0.0],-inf,nan
100,1.0,1.0,0.0,0.0,0.5,1000000,[0.0],-6.880139855018417,0.14366471506516046
100,1.0,1.0,0.5,0.5,0.5,1000000,[0.0],-6.888033584889197,0.1457118372708794
100,1.0,1.0,0.75,0.75,0.5,1000000,[0.0],-6.897143993399929,0.18698309825307888
100,1.0,1.0,1.0,1.0,0.5,1000000,[0.0],-6.951148317375588,0.17750610826897562
100,1.0,1.0,1.25,1.25,0.5,1000000,[0.0],-6.994043404651435,0.2114994477662004
100,1.0,1.0,1.5,1.5,0.5,1000000,[0.0],-7.020811055531777,0.22403883160235097
