,Cluster,Positive,Negative
0,Cluster 1,0.25919227756531354,-0.047621526977837135
1,Cluster 2,0.13462066242163975,-0.09229675699689027
2,Cluster 3,0.11838650186384148,-0.15067961546007444
3,Cluster 4,0.12110273147854735,-0.06136954179605812
